Pays,Serie,Valeurs 2017
Australie,Total de dette extérieure (% du RNB),
Australie,Valeur actuelle de la dette extérieure ($ US courants),
Australie,"Compte de capitaux nets (BDP, $ US courants)",-387546906.5
Australie,Taux d’intérêt des dépôts (%),2.008333333
Australie,Taux d’intérêt des prêts (%),5.2455
Australie,Taux d’intérêt réel (%),1.446246721
Australie,Croissance du PIB (% annuel),2.295926947
Australie,Croissance du PIB par habitant (% annuel),0.587161103
Australie,PIB ($ US courants),1.33E+12
Australie,PIB par habitant ($ US courants),53934.25018
Australie,PIB par habitant ($ US constants de 2010),57764.06884
Australie,PIB ($ US constants de 2010),1.42E+12
Australie,RNB ($ US courants),1.29E+12
Australie,RNB (dollars US constants 2010),
Australie,Croissance du RNB (% annuel),
Australie,Croissance du RNB par habitant (% annuel),
Australie,RNB par habitant en PPA (dollars internationaux constants de 2011),47085.22714
Australie,"RNB par habitant, ($ PPA internationaux courants)",47090
Australie,"PIB par habitant, ($ PPA internationaux constants de 2011)",48398.5497
Australie,"PIB par habitant, ($ PPA internationaux courants)",48398.5497
Autriche,"Dette du gouvernement central, total (% du PIB)",
Autriche,"Rachats et frais du FMI (Service de la dette totale, $ US courants)",
Autriche,Total de dette extérieure (% du RNB),
Autriche,Valeur actuelle de la dette extérieure ($ US courants),
Autriche,"Compte de capitaux nets (BDP, $ US courants)",-320317161.4
Autriche,Taux d’intérêt des dépôts (%),
Autriche,Taux d’intérêt des prêts (%),
Autriche,Taux d’intérêt réel (%),
Autriche,Croissance du PIB (% annuel),2.258572433
Autriche,Croissance du PIB par habitant (% annuel),1.550724086
Autriche,PIB ($ US courants),4.16E+11
Autriche,PIB par habitant ($ US courants),47312.00623
Autriche,PIB par habitant ($ US constants de 2010),45325.93522
Autriche,PIB ($ US constants de 2010),3.98E+11
Autriche,RNB ($ US courants),4.12E+11
Autriche,RNB (dollars US constants 2010),3.94E+11
Autriche,Croissance du RNB (% annuel),1.30919733
Autriche,Croissance du RNB par habitant (% annuel),0.607920693
Autriche,RNB par habitant en PPA (dollars internationaux constants de 2011),53665.02668
Autriche,"RNB par habitant, ($ PPA internationaux courants)",53670
Autriche,"PIB par habitant, ($ PPA internationaux constants de 2011)",54172.98679
Autriche,"PIB par habitant, ($ PPA internationaux courants)",54172.98679
Azerbaïdjan,"Dette du gouvernement central, total (% du PIB)",
Azerbaïdjan,"Rachats et frais du FMI (Service de la dette totale, $ US courants)",113712.6
Azerbaïdjan,Total de dette extérieure (% du RNB),5.678019243
Azerbaïdjan,Valeur actuelle de la dette extérieure ($ US courants),
Azerbaïdjan,"Compte de capitaux nets (BDP, $ US courants)",100369000
Azerbaïdjan,Taux d’intérêt des dépôts (%),8.428333333
Azerbaïdjan,Taux d’intérêt des prêts (%),16.5425
Azerbaïdjan,Taux d’intérêt réel (%),0.318578044
Azerbaïdjan,Croissance du PIB (% annuel),0.2
Azerbaïdjan,Croissance du PIB par habitant (% annuel),-0.778416066
Azerbaïdjan,PIB ($ US courants),40865558912
Azerbaïdjan,PIB par habitant ($ US courants),4147.089716
Azerbaïdjan,PIB par habitant ($ US constants de 2010),5229.068864
Azerbaïdjan,PIB ($ US constants de 2010),51531923131
Azerbaïdjan,RNB ($ US courants),39320590286
Azerbaïdjan,RNB (dollars US constants 2010),
Azerbaïdjan,Croissance du RNB (% annuel),
Azerbaïdjan,Croissance du RNB par habitant (% annuel),
Azerbaïdjan,RNB par habitant en PPA (dollars internationaux constants de 2011),13587.53119
Azerbaïdjan,"RNB par habitant, ($ PPA internationaux courants)",13590
