Pays,Serie,Valeurs 2017
Bangladesh,"Coût des procédures d’importation, formalités documentaires (USD)",370
Bangladesh,"Coût des procédures d’importation, formalités douanières (USD)",900
Bangladesh,Importations de biens et de services ($ US courants),50611141233
Bangladesh,Importations de marchandises ($ US courants),52836000000
Bangladesh,Importations de nourriture (% des marchandises importées),
Bangladesh,Indice de la valeur des importations (2000=100),594.8024316
Bangladesh,Indice du volume des importations (2000=100),341.6248079
Bangladesh,"Coût des procédures d’exportation, formalités documentaires (USD)",225
Bangladesh,"Coût des procédures d’exportation, formalités douanières (USD)",408.1731
Bangladesh,Exportations de biens et de services ($ US courants),37546803060
Bangladesh,Exportations de marchandises ($ US courants),35851000000
Bangladesh,Exportations de nourriture (% des marchandises exportées),
Bangladesh,Indice de la valeur des exportations (2000=100),561.1342933
Bangladesh,Indice du volume des exportations (2000=100),486.1681687
Barbade,"Coût des procédures d’importation, formalités documentaires (USD)",150
Barbade,"Coût des procédures d’importation, formalités douanières (USD)",1776
Barbade,Importations de biens et de services ($ US courants),2027176350
Barbade,Importations de marchandises ($ US courants),1600000000
Barbade,Importations de nourriture (% des marchandises importées),21.95727551
Barbade,Indice de la valeur des importations (2000=100),138.4163315
Barbade,Indice du volume des importations (2000=100),82.67097184
Barbade,"Coût des procédures d’exportation, formalités documentaires (USD)",108.8462
Barbade,"Coût des procédures d’exportation, formalités douanières (USD)",486
Barbade,Exportations de biens et de services ($ US courants),2100297550
Barbade,Exportations de marchandises ($ US courants),485000000
Barbade,Exportations de nourriture (% des marchandises exportées),36.55839936
Barbade,Indice de la valeur des exportations (2000=100),178.2232422
Barbade,Indice du volume des exportations (2000=100),88.2833837
Bélarus,"Coût des procédures d’importation, formalités documentaires (USD)",0
Bélarus,"Coût des procédures d’importation, formalités douanières (USD)",0
Bélarus,Importations de biens et de services ($ US courants),36435957150
Bélarus,Importations de marchandises ($ US courants),34236000000
Bélarus,Importations de nourriture (% des marchandises importées),12.27088595
Bélarus,Indice de la valeur des importations (2000=100),395.9531355
Bélarus,Indice du volume des importations (2000=100),218.1484095
Bélarus,"Coût des procédures d’exportation, formalités documentaires (USD)",60
Bélarus,"Coût des procédures d’exportation, formalités douanières (USD)",107.6923
Bélarus,Exportations de biens et de services ($ US courants),36551674171
Bélarus,Exportations de marchandises ($ US courants),29241000000
Bélarus,Exportations de nourriture (% des marchandises exportées),16.50705064
Bélarus,Indice de la valeur des exportations (2000=100),399.104608
Bélarus,Indice du volume des exportations (2000=100),224.914032
Belgique,"Coût des procédures d’importation, formalités documentaires (USD)",0
Belgique,"Coût des procédures d’importation, formalités douanières (USD)",0
Belgique,Importations de biens et de services ($ US courants),4.12E+11
Belgique,Importations de marchandises ($ US courants),4.09E+11
Belgique,Importations de nourriture (% des marchandises importées),10.35625322
Belgique,Indice de la valeur des importations (2000=100),231.0420386
Belgique,Indice du volume des importations (2000=100),140.4146644
Belgique,"Coût des procédures d’exportation, formalités documentaires (USD)",0
Belgique,"Coût des procédures d’exportation, formalités douanières (USD)",0
Belgique,Exportations de biens et de services ($ US courants),4.17E+11
Belgique,Exportations de marchandises ($ US courants),4.30E+11
Belgique,Exportations de nourriture (% des marchandises exportées),11.30691411
Belgique,Indice de la valeur des exportations (2000=100),228.9051216
Belgique,Indice du volume des exportations (2000=100),145.2640153
Belize,"Coût des procédures d’importation, formalités documentaires (USD)",75
Belize,"Coût des procédures d’importation, formalités douanières (USD)",687.5
Belize,Importations de biens et de services ($ US courants),1073213700
Belize,Importations de marchandises ($ US courants),916000000
Belize,Importations de nourriture (% des marchandises importées),20.52912411
Belize,Indice de la valeur des importations (2000=100),174.7031201
Belize,Indice du volume des importations (2000=100),104.0042499
Belize,"Coût des procédures d’exportation, formalités documentaires (USD)",50
Belize,"Coût des procédures d’exportation, formalités douanières (USD)",710
Belize,Exportations de biens et de services ($ US courants),1009694450
Belize,Exportations de marchandises ($ US courants),457000000
Belize,Exportations de nourriture (% des marchandises exportées),87.44630239
Belize,Indice de la valeur des exportations (2000=100),233.5024758
Belize,Indice du volume des exportations (2000=100),133.3212123
Bénin,"Coût des procédures d’importation, formalités documentaires (USD)",110
Bénin,"Coût des procédures d’importation, formalités douanières (USD)",599.1111
Bénin,Importations de biens et de services ($ US courants),4352984374
Bénin,Importations de marchandises ($ US courants),3494000000
Bénin,Importations de nourriture (% des marchandises importées),54.94841477
Bénin,Indice de la valeur des importations (2000=100),569.972937
Bénin,Indice du volume des importations (2000=100),329.2081171
Bénin,"Coût des procédures d’exportation, formalités documentaires (USD)",80
Bénin,"Coût des procédures d’exportation, formalités douanières (USD)",354.3333
Bénin,Exportations de biens et de services ($ US courants),3455560720
Bénin,Exportations de marchandises ($ US courants),2216000000
Bénin,Exportations de nourriture (% des marchandises exportées),29.80232002
Bénin,Indice de la valeur des exportations (2000=100),565.2966901
Bénin,Indice du volume des exportations (2000=100),251.3031772
Bermudes,"Coût des procédures d’importation, formalités documentaires (USD)",
Bermudes,"Coût des procédures d’importation, formalités douanières (USD)",
Bermudes,Importations de biens et de services ($ US courants),1703748000
Bermudes,Importations de marchandises ($ US courants),1095000000
Bermudes,Importations de nourriture (% des marchandises importées),20.36928604
Bermudes,Indice de la valeur des importations (2000=100),152.294854
Bermudes,Indice du volume des importations (2000=100),105.8621954
Bermudes,"Coût des procédures d’exportation, formalités documentaires (USD)",
Bermudes,"Coût des procédures d’exportation, formalités douanières (USD)",
Bermudes,Exportations de biens et de services ($ US courants),3466748000
Bermudes,Exportations de marchandises ($ US courants),18000000
Bermudes,Exportations de nourriture (% des marchandises exportées),47.75416222
Bermudes,Indice de la valeur des exportations (2000=100),35.29411765
Bermudes,Indice du volume des exportations (2000=100),21.45552542
Bhoutan,"Coût des procédures d’importation, formalités documentaires (USD)",50
Bhoutan,"Coût des procédures d’importation, formalités douanières (USD)",110.1111
Bhoutan,Importations de biens et de services ($ US courants),1252713539
Bhoutan,Importations de marchandises ($ US courants),1029000000
Bhoutan,Importations de nourriture (% des marchandises importées),
Bhoutan,Indice de la valeur des importations (2000=100),587.2054795
Bhoutan,Indice du volume des importations (2000=100),346.4187114
Bhoutan,"Coût des procédures d’exportation, formalités documentaires (USD)",50
Bhoutan,"Coût des procédures d’exportation, formalités douanières (USD)",59.16667
Bhoutan,Exportations de biens et de services ($ US courants),737147921.7
Bhoutan,Exportations de marchandises ($ US courants),573000000
Bhoutan,Exportations de nourriture (% des marchandises exportées),
Bhoutan,Indice de la valeur des exportations (2000=100),556.0475728
